"N","P","G","Iteration","Method","MAE","RMSE","MAPE"
1000,0.1,5,6,"EWMA",0.00221440227468682,0.144663570245186,26.4503833107528
1000,0.1,5,6,"LI",0.0115146837545618,0.147108036733188,26.1647867947446
1000,0.1,5,6,"KAF",0.316049933863774,0.345307062818226,59.4823187639423
1000,0.1,5,6,"RMEA",0.017960056157601,0.151924202540777,28.8247271725258
1000,0.1,5,6,"NNI",0.0123609419298838,0.135728927395546,24.7214297896061
1000,0.1,5,7,"NN",0.031284428666554,0.208857759161696,38.2342730170885
1000,0.1,5,7,"EWMA",0.00763279563998088,0.187133968882515,36.2572973612658
1000,0.1,5,7,"LI",0.0180915875936544,0.197658848623852,36.9384528620898
1000,0.1,5,7,"KAF",0.538351209323032,0.563542082492816,111.583877690327
1000,0.1,5,7,"RMEA",0.0028216304485206,0.152731598999554,31.4896056105608
1000,0.1,5,7,"NNI",0.020590876330569,0.170504261228682,32.9271631721211
1000,0.1,5,8,"NN",0.0449154597820432,0.218933175194286,41.7326600383161
1000,0.1,5,8,"EWMA",0.0242348467310767,0.18891085500487,38.979841096537
1000,0.1,5,8,"LI",0.0211451688324841,0.200977982939797,41.3297781060739
1000,0.1,5,8,"KAF",0.466050178843473,0.49384445897815,94.053216794403
1000,0.1,5,8,"RMEA",0.00136760291090632,0.163196271247173,34.7250482668574
1000,0.1,5,8,"NNI",0.0120064174354857,0.173136369031466,36.4756273642177
1000,0.1,5,9,"NN",0.00622643509157147,0.191397955670671,67.4909693457808
1000,0.1,5,9,"EWMA",0.00865056530621422,0.162847952629033,74.2044032549888
1000,0.1,5,9,"LI",0.00109233075546233,0.179069340995922,79.8081826840211
1000,0.1,5,9,"KAF",0.420559802630025,0.444484186772756,92.8700276055012
1000,0.1,5,9,"RMEA",0.00471941839235524,0.145043479551716,73.3470651920567
1000,0.1,5,9,"NNI",0.0141882281861915,0.167748677600514,77.8420840056371
1000,0.1,5,10,"NN",0.00418019372486449,0.258759477705528,55.2956885437383
1000,0.1,5,10,"EWMA",0.00249805720663592,0.210636058229277,44.6627998104525
1000,0.1,5,10,"LI",0.00904776000496845,0.248413435562912,51.013190474785
1000,0.1,5,10,"KAF",0.597336975399045,0.622099405029553,134.851209989455
1000,0.1,5,10,"RMEA",0.00640755301760905,0.162795417893318,38.2192336584784
1000,0.1,5,10,"NNI",0.0365757034019307,0.222978401198213,49.6198312952562
1000,0.1,10,1,"NN",0.0586844651821088,0.262514144298725,61.5547538803094
1000,0.1,10,1,"EWMA",0.0179272140051287,0.217119002259988,49.2400468850569
1000,0.1,10,1,"LI",0.0103490044427922,0.231429141886273,53.1557722821563
1000,0.1,10,1,"KAF",0.528568576996496,0.553239691924526,110.766201815721
1000,0.1,10,1,"RMEA",0.00200179615507188,0.152394496811024,37.4770703166252
1000,0.1,10,1,"NNI",0.00520133512735876,0.207236723941491,47.7131648431851
1000,0.1,10,2,"NN",0.00195961219454721,0.169889940539411,30.4596278145614
1000,0.1,10,2,"EWMA",0.0141978562286407,0.165362939442204,32.2383181279056
1000,0.1,10,2,"LI",0.00150402908144402,0.161722339095672,30.4052640755337
1000,0.1,10,2,"KAF",0.522700275871832,0.540593799193772,102.728832019628
1000,0.1,10,2,"RMEA",0.00667756828524968,0.139373416328904,26.4511977070593
1000,0.1,10,2,"NNI",0.00934066855710286,0.151621811857439,28.2268737866205
1000,0.1,10,3,"NN",0.108806198277725,0.25388444057238,42.2149834813563
1000,0.1,10,3,"EWMA",0.0748262601299188,0.207116229300527,34.8864205731199
1000,0.1,10,3,"LI",0.133126402113353,0.242117258049179,40.6453989627823
1000,0.1,10,3,"KAF",0.638645483579351,0.66347266907982,126.37838907725
1000,0.1,10,3,"RMEA",0.0328391174345904,0.15236151472285,27.2387478558787
