"N","P","G","Iteration","Method","max_iter","K","n_series","random","method","Modulus","Argument","MAE","RMSE","MAPE"
1000,0.1,10,4,"NNI",10,10,50,"FALSE","all",0.05,0.523598775598299,0.0519292823748773,0.190469028457626,34.1440939786011
1000,0.1,10,4,"NNI",25,5,20,"FALSE","all",0.05,0.523598775598299,0.0414890074687188,0.171136975371425,31.5728375430512
1000,0.1,10,4,"NNI",25,5,60,"FALSE","all",0.05,0.523598775598299,0.0482068619148916,0.18387245690714,33.4723995254998
1000,0.1,10,4,"NNI",25,5,100,"FALSE","all",0.05,0.523598775598299,0.0835643247740453,0.219010590561486,38.3678614963272
1000,0.1,10,4,"NNI",25,10,10,"FALSE","all",0.05,0.523598775598299,0.0417240758376306,0.167898014556771,30.6994147731798
1000,0.1,10,4,"NNI",25,10,30,"FALSE","all",0.05,0.523598775598299,0.0390068206029123,0.171034768721357,31.4832294088458
1000,0.1,10,4,"NNI",25,10,50,"FALSE","all",0.05,0.523598775598299,0.0521271056609338,0.184506764913223,33.1327463637547
1000,0.1,10,5,"NNI",10,5,20,"TRUE","noise",0.05,0.523598775598299,0.0301435898404262,0.166776993074237,25.5952574230272
1000,0.1,10,5,"NNI",10,5,60,"TRUE","noise",0.05,0.523598775598299,0.022201843292608,0.151068344286594,24.1089886178668
1000,0.1,10,5,"NNI",10,5,100,"TRUE","noise",0.05,0.523598775598299,0.0154245653759381,0.15405055025932,25.7191558600787
1000,0.1,10,5,"NNI",10,10,10,"TRUE","noise",0.05,0.523598775598299,0.0346107011299274,0.164068300095022,26.3573025597662
1000,0.1,10,5,"NNI",10,10,30,"TRUE","noise",0.05,0.523598775598299,0.0187674794505975,0.156523743105902,25.2970490942857
1000,0.1,10,5,"NNI",10,10,50,"TRUE","noise",0.05,0.523598775598299,0.0128917149465224,0.151410456484197,25.3816416420465
1000,0.1,10,5,"NNI",25,5,20,"TRUE","noise",0.05,0.523598775598299,0.0230230671297452,0.147633920174426,22.1608237226956
1000,0.1,10,5,"NNI",25,5,60,"TRUE","noise",0.05,0.523598775598299,0.0320072751860759,0.149447003213348,23.7709960146756
1000,0.1,10,5,"NNI",25,5,100,"TRUE","noise",0.05,0.523598775598299,0.0042493304114482,0.139974381008643,23.5804007079651
1000,0.1,10,5,"NNI",25,10,10,"TRUE","noise",0.05,0.523598775598299,0.0313017890762231,0.156821065034885,24.7872957231219
1000,0.1,10,5,"NNI",25,10,30,"TRUE","noise",0.05,0.523598775598299,0.0162824484657189,0.148436663301037,23.9170849012425
1000,0.1,10,5,"NNI",25,10,50,"TRUE","noise",0.05,0.523598775598299,0.0203433318655631,0.139084615357085,21.5716746729744
